[2018-09-11 20:18:21] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-09-11 20:18:22] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-09-11 20:18:22] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[234862336]
[2018-09-11 20:18:22] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[243255040]
[2018-09-11 20:18:30] | CInterfaceManager.cpp-L4387: callback InnerGetOneFrameTimeout error![80000003]
[2018-09-11 20:18:30] | CInterfaceManager.cpp-L1208: getfcnt [0], getfcntsucceed[0], totalRecv[0] 
[2018-09-11 20:18:30] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-09-11 20:18:30] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-24 22:21:26] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-24 22:21:27] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-24 22:21:27] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-24 22:21:27] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1350572288]
[2018-11-24 22:21:27] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1358964992]
[2018-11-25 13:50:42] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 13:50:42] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 13:50:42] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 13:50:42] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[100644608]
[2018-11-25 13:50:42] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[109037312]
[2018-11-25 14:18:47] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:18:48] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:18:48] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:18:48] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-324061440]
[2018-11-25 14:18:48] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-603982080]
[2018-11-25 14:19:04] | CInterfaceManager.cpp-L1208: getfcnt [807], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 14:19:04] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 14:19:04] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 14:21:39] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:21:39] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:21:40] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:21:40] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:21:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:21:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1150244608]
[2018-11-25 14:21:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1158637312]
[2018-11-25 14:21:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:21:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[922736384]
[2018-11-25 14:21:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[914343680]
[2018-11-25 14:33:18] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:33:18] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:35:54] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:35:54] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
