[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L0541: nFrameNum[78] pstFrameInfo->nFrameNum[80]
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L0541: nFrameNum[81] pstFrameInfo->nFrameNum[83]
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L0541: nFrameNum[83] pstFrameInfo->nFrameNum[85]
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L0541: nFrameNum[86] pstFrameInfo->nFrameNum[88]
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L0541: nFrameNum[88] pstFrameInfo->nFrameNum[90]
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:20] |    StreamProcess.cpp-L0541: nFrameNum[90] pstFrameInfo->nFrameNum[92]
[2018-11-25 16:15:20] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[95] pstFrameInfo->nFrameNum[98]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[99] pstFrameInfo->nFrameNum[101]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[101] pstFrameInfo->nFrameNum[103]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[104] pstFrameInfo->nFrameNum[106]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[107] pstFrameInfo->nFrameNum[109]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[109] pstFrameInfo->nFrameNum[111]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[112] pstFrameInfo->nFrameNum[114]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[114] pstFrameInfo->nFrameNum[116]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[117] pstFrameInfo->nFrameNum[119]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[119] pstFrameInfo->nFrameNum[121]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[122] pstFrameInfo->nFrameNum[124]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[125] pstFrameInfo->nFrameNum[127]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[128] pstFrameInfo->nFrameNum[130]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[131] pstFrameInfo->nFrameNum[133]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[134] pstFrameInfo->nFrameNum[136]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[137] pstFrameInfo->nFrameNum[139]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[140] pstFrameInfo->nFrameNum[142]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[143] pstFrameInfo->nFrameNum[145]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[145] pstFrameInfo->nFrameNum[148]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[149] pstFrameInfo->nFrameNum[151]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[151] pstFrameInfo->nFrameNum[153]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[154] pstFrameInfo->nFrameNum[156]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[157] pstFrameInfo->nFrameNum[159]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[161] pstFrameInfo->nFrameNum[164]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[165] pstFrameInfo->nFrameNum[167]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[168] pstFrameInfo->nFrameNum[170]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[170] pstFrameInfo->nFrameNum[172]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[173] pstFrameInfo->nFrameNum[175]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[175] pstFrameInfo->nFrameNum[177]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[177] pstFrameInfo->nFrameNum[179]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[180] pstFrameInfo->nFrameNum[182]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[182] pstFrameInfo->nFrameNum[184]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
